,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
0,1064050.0,13000.0,3500.0, 60 months,12.42%,400.99,Nodaway Holt R-11 School District,3 years,RENT,175000.0,Not Verified,Fully Paid,debt_consolidation,TX,17.4,1.0,3.0,5.0,0.0,6088.0,14.0,0.0,4234.307175,9487.75,860.53,0.0,0.0,0.0,1886.23,0.0,0.0,D
1,1056288.0,7600.0,8000.0, 60 months,15.96%,511.49,st catherine of siena,2 years,RENT,88824.0,Verified,Charged Off,debt_consolidation,CA,24.03,1.0,0.0,8.0,0.0,3745.0,31.0,0.0,14869.6,1125.31,78.9,0.0,0.0,0.0,1621.93,0.0,0.0,C
2,1088866.0,24000.0,21000.0, 60 months,9.99%,388.06,San Bernardino County,3 years,RENT,50000.0,Source Verified,Fully Paid,debt_consolidation,WA,15.89,0.0,0.0,12.0,0.0,70717.0,23.0,0.0,14689.09803,7000.0,2761.79,0.0,0.0,0.0,2414.6,0.0,0.0,F
3,1270014.0,30000.0,35000.0, 36 months,16.77%,360.41,162 fighter wing,1 year,RENT,70000.0,Verified,Fully Paid,debt_consolidation,SC,17.82,0.0,0.0,8.0,0.0,20089.0,32.0,0.0,4081.600319,1849.31,2116.01,0.0,0.0,0.0,167.05,0.0,0.0,B
4,1040301.0,12000.0,3000.0, 36 months,9.99%,218.04,GCA Services,10+ years,MORTGAGE,74000.0,Source Verified,Fully Paid,other,TX,0.67,0.0,0.0,14.0,0.0,1375.0,23.0,0.0,14657.91765,19000.0,3005.92,0.0,0.0,0.0,306.9,0.0,0.0,E
5,1016837.0,25000.0,24000.0, 36 months,10.65%,315.63,EWS Enterprises llc,10+ years,RENT,75000.0,Verified,Fully Paid,home_improvement,TX,14.42,0.0,2.0,6.0,0.0,11965.0,13.0,3802.56,4592.840001,2950.75,1660.91,0.0,0.0,0.0,192.49,0.0,0.0,D
6,1102008.0,14000.0,17000.0, 36 months,11.71%,502.13,Goel Services,10+ years,RENT,70000.0,Source Verified,Charged Off,home_improvement,OH,12.1,2.0,3.0,13.0,0.0,27126.0,22.0,0.0,7717.72192,12700.0,346.02,0.0,0.0,0.0,215.77,0.0,0.0,A
7,1298492.0,12000.0,2800.0, 60 months,12.42%,206.24,University of Michigan,10+ years,RENT,95000.0,Source Verified,Charged Off,major_purchase,NM,2.37,0.0,1.0,8.0,0.0,7332.0,12.0,0.0,14924.92488,15000.0,834.55,0.0,0.0,337.8,824.36,0.0,0.0,C
8,1028834.0,6000.0,15775.0, 36 months,17.99%,365.23,Andritz,10+ years,MORTGAGE,60000.0,Verified,Charged Off,credit_card,SC,24.6,0.0,2.0,14.0,0.0,7187.0,5.0,0.0,18473.17536,24250.0,493.46,0.0,2315.02,0.0,2763.54,0.0,0.0,D
9,1304521.0,5000.0,14750.0, 36 months,9.99%,76.05,Ollis & Co,< 1 year,RENT,120000.0,Verified,Fully Paid,debt_consolidation,VA,13.62,0.0,1.0,5.0,0.0,2186.0,37.0,0.0,6735.078514,1016.83,0.0,0.0,808.96,0.0,676.2,0.0,0.0,D
10,1289688.0,4000.0,11775.0, 60 months,12.42%,607.31,Gallaudet University,8 years,RENT,48000.0,Verified,Current,major_purchase,CA,10.61,0.0,2.0,16.0,0.0,477.0,21.0,0.0,12432.64,15600.0,5552.04,0.0,0.0,0.0,136.26,0.0,0.0,D
11,1050049.0,5000.0,12000.0, 36 months,7.49%,207.86,Massport,6 years,RENT,37513.0,Source Verified,Fully Paid,credit_card,PA,18.77,0.0,0.0,6.0,0.0,5209.0,13.0,0.0,7439.400163,3000.0,1113.95,14.95966108,0.0,0.0,133.25,0.0,0.0,B
12,1073370.0,2000.0,7000.0, 60 months,11.71%,365.01,Siemens Diagnostics,7 years,MORTGAGE,36000.0,Not Verified,Fully Paid,credit_card,HI,13.17,1.0,2.0,3.0,0.0,35520.0,21.0,0.0,14740.76,1835.94,285.77,35.00999987,0.0,0.0,529.23,0.0,0.0,B
13,1291067.0,2400.0,10000.0, 36 months,15.27%,938.71,Pibly Residential Programs Inc.,3 years,MORTGAGE,85000.0,Source Verified,Fully Paid,small_business,CA,20.03,0.0,0.0,10.0,0.0,12935.0,16.0,0.0,13415.33913,20767.66,5585.86,0.0,0.0,0.0,9412.4,0.0,0.0,B
14,1221541.0,11200.0,5000.0, 60 months,14.79%,312.91,The Hartford,2 years,MORTGAGE,85000.0,Not Verified,Fully Paid,debt_consolidation,FL,7.94,0.0,1.0,8.0,0.0,2963.0,20.0,0.0,8546.69,7125.0,2738.16,0.0,0.0,0.0,355.13,0.0,0.0,D
15,1204755.0,10500.0,12000.0, 36 months,11.49%,264.61,Area Agency on Aging,< 1 year,RENT,65000.0,Source Verified,Fully Paid,other,VT,20.03,0.0,0.0,6.0,0.0,2813.0,36.0,0.0,8891.248716,8725.0,199.07,0.0,0.0,0.0,13856.75,0.0,0.0,B
16,1018038.0,35000.0,13000.0, 60 months,11.99%,646.96,Kaiser Permanente,< 1 year,RENT,52000.0,Not Verified,Fully Paid,debt_consolidation,CO,15.54,0.0,1.0,4.0,0.0,3011.0,7.0,712.5,7853.703946,1903.66,193.92,0.0,2517.22,0.0,2099.62,0.0,0.0,D
17,1291231.0,4800.0,4200.0, 36 months,8.49%,265.97,Great South Bay YMCA,3 years,MORTGAGE,59000.0,Verified,Fully Paid,debt_consolidation,WA,12.76,0.0,2.0,8.0,0.0,25105.0,34.0,0.0,13346.49,12000.0,12084.74,0.0,967.07,0.0,4350.08,0.0,0.0,D
18,1240939.0,14400.0,35000.0, 36 months,17.27%,346.62,International Fund Services,< 1 year,RENT,55000.0,Verified,Fully Paid,credit_card,FL,11.53,0.0,2.0,9.0,0.0,200.0,28.0,1311.75,7245.820001,11609.04,622.89,0.0,0.0,0.0,10593.66,0.0,0.0,A
19,1302799.0,4500.0,11800.0, 36 months,12.99%,413.45,honda of america manufacturing,2 years,RENT,39000.0,Verified,Fully Paid,major_purchase,TX,21.57,0.0,0.0,10.0,0.0,23932.0,21.0,462.77,40709.94984,32000.0,2578.6,0.0,0.0,0.0,3451.08,0.0,0.0,B
20,1268698.0,16000.0,14000.0, 60 months,16.89%,587.19,State of Georgia,10+ years,MORTGAGE,19200.0,Not Verified,Fully Paid,major_purchase,AL,18.21,0.0,1.0,9.0,0.0,13506.0,13.0,0.0,27636.44819,2225.57,1767.15,0.0,0.0,0.0,5025.15,0.0,0.0,A
21,1232347.0,7150.0,35000.0, 36 months,10.65%,203.59,"Cargill, Incorporated",< 1 year,RENT,63000.0,Not Verified,Fully Paid,home_improvement,VA,20.45,0.0,0.0,15.0,0.0,2983.0,26.0,0.0,11599.19,29000.0,1435.86,0.0,0.0,0.0,2356.22,0.0,0.0,A
22,1195415.0,15000.0,2800.0, 36 months,12.99%,1140.07,Coastal Carolina University,3 years,OWN,50000.0,Verified,Current,debt_consolidation,CA,6.14,0.0,0.0,13.0,0.0,7314.0,24.0,0.0,10079.89134,6000.0,3720.27,0.0,0.0,0.0,162.56,0.0,0.0,B
23,1053399.0,7000.0,24000.0, 36 months,7.49%,346.21,Ford Motor Comp.,3 years,RENT,45000.0,Source Verified,Current,house,NJ,12.48,2.0,1.0,15.0,0.0,4427.0,13.0,0.0,6794.585719,6000.0,1161.59,0.0,0.0,0.0,9851.21,0.0,0.0,A
24,1079923.0,15300.0,21000.0, 36 months,14.27%,203.59,white plains hospital,4 years,MORTGAGE,45000.0,Not Verified,Fully Paid,debt_consolidation,NC,21.5,0.0,0.0,5.0,1.0,2378.0,11.0,0.0,13148.13786,14125.0,634.78,0.0,0.0,0.0,323.53,0.0,0.0,E
25,1265935.0,12000.0,19000.0, 36 months,16.29%,116.01,U.S. Air Force,1 year,RENT,78000.0,Source Verified,Fully Paid,debt_consolidation,FL,10.64,0.0,2.0,14.0,0.0,10621.0,9.0,0.0,9155.658663,18000.0,3119.28,0.0,0.0,0.0,382.65,0.0,0.0,B
26,1189810.0,15000.0,6000.0, 36 months,10.65%,157.91,Korean Air,10+ years,MORTGAGE,199000.0,Not Verified,Fully Paid,debt_consolidation,TX,21.43,0.0,0.0,14.0,0.0,4394.0,44.0,0.0,6266.849992,12000.0,1879.91,0.0,0.0,5.2557,7923.32,0.0,0.0,C
27,1136242.0,15000.0,4200.0, 36 months,11.71%,315.86,Ernst  and  Young LLP,5 years,MORTGAGE,36000.0,Source Verified,Fully Paid,debt_consolidation,OH,16.03,0.0,1.0,5.0,0.0,16160.0,19.0,0.0,7985.548506,10625.0,7952.79,0.0,0.0,0.0,7614.25,0.0,0.0,E
28,1294487.0,35000.0,12600.0, 60 months,17.27%,690.15,Baptist Health of South Florida,6 years,MORTGAGE,66000.0,Source Verified,Fully Paid,other,GA,9.31,0.0,0.0,7.0,0.0,13465.0,17.0,0.0,22354.64998,1661.68,7511.09,0.0,0.0,0.0,245.63,0.0,0.0,C
29,1293059.0,8800.0,10000.0, 36 months,14.27%,97.72,Grady health system,10+ years,MORTGAGE,90000.0,Verified,Fully Paid,other,NJ,11.31,1.0,0.0,12.0,0.0,2497.0,11.0,0.0,2033.268799,12300.0,221.11,0.0,0.0,0.0,181.92,0.0,0.0,B
30,1092129.0,35000.0,4000.0, 36 months,6.03%,564.81,american pure spring water,10+ years,RENT,81996.0,Not Verified,Charged Off,debt_consolidation,CA,7.29,1.0,1.0,10.0,0.0,7063.0,38.0,0.0,3323.50343,12000.0,11844.61,15.00000001,0.0,0.0,35.67,0.0,0.0,C
31,1228817.0,6000.0,15600.0, 36 months,18.25%,235.83,Monroe county school board,< 1 year,RENT,67000.0,Verified,Fully Paid,debt_consolidation,OH,14.9,0.0,0.0,12.0,0.0,10676.0,13.0,0.0,3576.74,6625.0,3064.4,0.0,870.17,0.0,478.15,0.0,0.0,B
32,1130832.0,28000.0,23000.0, 36 months,13.49%,60.42,Columbia County School Board- Ft. White,5 years,MORTGAGE,39600.0,Verified,Fully Paid,debt_consolidation,FL,15.95,0.0,0.0,8.0,0.0,381.0,4.0,0.0,16435.17001,17000.0,3939.58,0.0,0.0,0.0,11939.85,0.0,0.0,B
33,1283258.0,17000.0,7800.0, 60 months,6.03%,95.26,"Arrow Electronics, Inc",5 years,RENT,58000.0,Not Verified,Fully Paid,debt_consolidation,TX,3.88,0.0,3.0,7.0,0.0,13174.0,23.0,0.0,8611.120895,11500.0,1829.07,0.0,0.0,0.0,14545.03,0.0,0.0,B
34,1104110.0,32350.0,5000.0, 60 months,16.49%,702.75,ShermansTravel Media,1 year,MORTGAGE,31200.0,Verified,Fully Paid,other,OH,7.44,0.0,0.0,7.0,0.0,22636.0,16.0,0.0,14342.53894,11000.0,6660.42,0.0,0.0,0.0,9307.08,0.0,0.0,D
35,1082993.0,16750.0,10800.0, 60 months,13.49%,1252.56,Sharp,< 1 year,RENT,80000.0,Verified,Fully Paid,debt_consolidation,CO,5.89,0.0,0.0,8.0,0.0,37513.0,54.0,0.0,25005.40184,6000.0,1122.28,0.0,0.0,0.0,738.82,0.0,0.0,C
36,1207354.0,35000.0,3200.0, 60 months,19.69%,435.04,pioneer electronics,2 years,MORTGAGE,50000.0,Source Verified,Fully Paid,small_business,AR,13.81,0.0,3.0,4.0,0.0,2929.0,41.0,2245.8,43543.80344,13270.37,9206.01,0.0,0.0,0.0,715.53,0.0,0.0,D
37,1028016.0,8000.0,14000.0, 60 months,14.65%,508.96,JACER Corporation,10+ years,RENT,29500.0,Not Verified,Fully Paid,debt_consolidation,NY,8.62,1.0,0.0,8.0,0.0,2414.0,40.0,0.0,19051.72817,25000.01,666.85,0.0,0.0,0.0,1133.12,0.0,0.0,B
38,1214645.0,30000.0,14000.0, 36 months,11.71%,201.45,NSABP Foundation Inc,10+ years,RENT,45000.0,Not Verified,Fully Paid,medical,MA,8.7,1.0,0.0,8.0,0.0,1963.0,20.0,0.0,15339.5,2309.45,1047.72,0.0,0.0,5.38,321.01,0.0,0.0,C
39,1090760.0,2500.0,4200.0, 60 months,6.03%,182.51,Knight Electrical,10+ years,RENT,73000.0,Source Verified,Fully Paid,debt_consolidation,CA,1.61,2.0,3.0,13.0,0.0,4857.0,49.0,0.0,6963.25,7500.0,2056.36,0.0,0.0,0.0,1455.73,0.0,0.0,A
40,1223058.0,24000.0,12000.0, 36 months,10.99%,251.03,GE Healthcare,6 years,RENT,62000.0,Verified,Fully Paid,debt_consolidation,WI,9.42,1.0,0.0,10.0,0.0,11116.0,14.0,0.0,23285.66712,1500.0,9999.66,0.0,0.0,0.0,25.44,0.0,0.0,F
41,1246281.0,5400.0,3200.0, 60 months,14.79%,327.34,Allan hanley,2 years,OWN,38400.0,Verified,Fully Paid,debt_consolidation,PA,20.91,0.0,0.0,9.0,0.0,2131.0,38.0,0.0,3379.306094,15000.0,616.73,0.0,0.0,0.0,8705.43,0.0,0.0,B
42,1261136.0,3000.0,7200.0, 60 months,9.91%,333.43,,6 years,MORTGAGE,62400.0,Verified,Fully Paid,debt_consolidation,AZ,15.44,0.0,0.0,15.0,0.0,2524.0,26.0,0.0,18114.79,2613.45,304.5,0.0,0.0,0.0,212.11,0.0,0.0,A
43,1013573.0,35000.0,7200.0, 60 months,12.69%,653.56,Universal Forest Products,5 years,MORTGAGE,57000.0,Source Verified,Current,debt_consolidation,AR,13.17,0.0,0.0,9.0,0.0,9487.0,30.0,0.0,39047.31,16079.69,1939.27,0.0,0.0,0.0,5344.41,0.0,0.0,B
44,1270251.0,10000.0,24000.0, 36 months,11.99%,324.47,Western Mutual Insurance Company,< 1 year,RENT,48000.0,Verified,Fully Paid,debt_consolidation,AR,23.47,0.0,0.0,14.0,0.0,3684.0,21.0,0.0,17500.58133,12000.0,1060.08,0.0,0.0,0.0,549.69,0.0,0.0,A
45,1280490.0,10625.0,13250.0, 36 months,5.42%,179.07,LOS ANGLELES POLICE DEPT,10+ years,RENT,38340.0,Verified,Fully Paid,major_purchase,WA,12.75,0.0,2.0,8.0,0.0,22836.0,10.0,0.0,2442.92,5000.0,1083.84,25.61,0.0,162.7182,612.51,0.0,0.0,A
46,1268951.0,24000.0,22925.0, 36 months,10.65%,141.21,,10+ years,OWN,340000.0,Source Verified,Fully Paid,home_improvement,VA,12.87,0.0,1.0,4.0,0.0,2179.0,17.0,0.0,12829.93928,15600.0,2876.84,26.48999995,0.0,2.51,314.07,0.0,0.0,D
47,989027.0,35000.0,2700.0, 60 months,6.03%,170.87,City of West St Paul,10+ years,MORTGAGE,111460.0,Verified,Fully Paid,other,TX,11.26,0.0,0.0,9.0,0.0,12859.0,43.0,0.0,24296.95464,6500.0,2335.54,0.0,0.0,0.0,400.99,0.0,0.0,A
48,1296072.0,11050.0,13000.0, 36 months,17.58%,574.36,"CareCore National, Inc.",10+ years,RENT,95000.0,Not Verified,Charged Off,debt_consolidation,HI,7.58,0.0,3.0,10.0,0.0,5447.0,20.0,0.0,4686.462753,6800.0,468.28,0.0,0.0,0.0,20928.16,0.0,0.0,A
49,1076206.0,5000.0,1850.0, 60 months,9.99%,280.91,Seven Hills RI,10+ years,MORTGAGE,42000.0,Verified,Fully Paid,debt_consolidation,SC,5.5,1.0,0.0,7.0,0.0,7003.0,51.0,0.0,16605.88,5200.0,684.35,0.0,0.0,0.0,85.39,0.0,0.0,B
50,1091197.0,10625.0,10000.0, 60 months,6.62%,353.95,Cigna,2 years,RENT,97000.0,Verified,Fully Paid,small_business,NV,6.56,0.0,1.0,8.0,0.0,11677.0,15.0,0.0,2190.036005,35000.0,4325.1,0.0,0.0,0.0,52.02,0.0,0.0,B
51,1298209.0,13000.0,16000.0, 60 months,18.64%,1095.16,Sparrow Health,10+ years,RENT,63478.0,Source Verified,Fully Paid,credit_card,FL,7.78,0.0,1.0,12.0,0.0,10706.0,39.0,0.0,26149.1,5000.0,223.11,0.0,0.0,0.0,417.58,0.0,0.0,A
52,1236791.0,12000.0,14000.0, 36 months,14.27%,456.54,Prairie du Chien Memorial Hospital,2 years,RENT,75000.0,Source Verified,Fully Paid,small_business,OH,10.22,0.0,1.0,12.0,0.0,1101.0,28.0,0.0,27157.77,12000.0,4025.15,0.0,0.0,0.0,314.15,0.0,0.0,B
53,1207159.0,6000.0,35000.0, 60 months,12.99%,352.23,Yuma County,6 years,RENT,28000.0,Source Verified,Fully Paid,debt_consolidation,WA,17.69,0.0,0.0,8.0,0.0,641.0,31.0,0.0,4762.897612,3500.0,123.31,0.0,0.0,0.0,363.85,0.0,0.0,D
54,1186720.0,10000.0,35000.0, 36 months,20.62%,260.13,Appletree,< 1 year,RENT,70000.0,Source Verified,Charged Off,medical,GA,23.91,0.0,2.0,3.0,0.0,6051.0,26.0,0.0,33697.87,3200.0,9442.97,0.0,0.0,7.2498,9678.93,0.0,0.0,C
55,1242732.0,15600.0,10000.0, 36 months,15.96%,261.88,American Home Shield,10+ years,RENT,65304.0,Not Verified,Fully Paid,wedding,CA,19.78,0.0,1.0,13.0,0.0,396.0,23.0,0.0,11403.65,10000.0,815.9,0.0,0.0,0.0,731.99,0.0,0.0,B
